ISOURBID,ISO3,URBID,NAME,SCHNM,ES90POP,ES95POP,ES00POP,SQKM_FINAL,URB_D_MEAN,BUF_D_MEAN,D_T_DIFF,URB_N_MEAN,BUF_N_MEAN,N_T_DIFF,LATITUDE,LONGITUDE
DEU90022,DEU,90022,Steinheim,STEINHEIM,12364,12982,13107,24.19,32.42,31.06,1.36,9.76,10.92,-1.16,51.85984827,9.100000003
LBR90022,LBR,90022,Harper,HARPER,14052,15550,24176,16.34,30.49,28.50,1.99,20.95,20.68,0.27,4.384089949,-7.713596416
GHA90022,GHA,90022, ,SALAGA,14193,17908,21986,33.29,30.75,30.46,0.29,20.44,20.35,0.09,8.550000623,-0.516666923
MDG90022,MDG,90022,Brickaville,VOHIBINANY,14297,17908,21211,27.73,31.99,30.90,1.09,19.40,17.94,1.46,-17.34996808,49.02999875
BEN90022,BEN,90022,Aplahoue,APLAHOUE,14445,16342,16342,28.59,33.69,32.79,0.90,21.19,20.76,0.42,6.933333741,1.683333046
CIV90022,CIV,90022,Affery,AFFERY,17149,17149,17149,27.01,29.51,27.78,1.73,20.08,20.78,-0.70,6.311594368,-3.942029166
CUB90022,CUB,90022,Guane,GUANE,17533,18308,19077,49.17,33.22,32.15,1.06,22.12,21.63,0.49,22.20289107,-84.08734407
PER90022,PER,90022,La Peca,LAPECA,20156,22601,24978,60.30,31.96,30.85,1.11,18.94,13.87,5.07,-5.610873202,-78.43442757
KEN90022,KEN,90022,HOMA BAY MUNICIPALITY,HOMABAY,23421,28324,33215,22.74,40.24,39.54,0.70,18.13,17.56,0.57,-0.527039186,34.46692263
TZA90022,TZA,90022,Tunduru,TUNDURU,24339,31220,38105,27.34,35.88,36.23,-0.35,19.62,19.73,-0.11,-11.13332928,37.34999832
GIN90022,GIN,90022,Macenta,MACENTA,36005,45554,55327,44.51,26.78,26.04,0.74,18.60,18.47,0.13,8.546111665,-9.469444521
IDN90022,IDN,90022,Pringsewu,PRINGSEWU,36400,45635,57640,46.35,27.22,27.49,-0.28,,21.88,,-5.400000354,104.9166636
BGD90022,BGD,90022,Noapara,NOAPARA,46530,56620,67643,61.77,37.11,34.36,2.74,21.29,21.73,-0.44,23.3330286,89.51670028
SDN90022,SDN,90022, ,KONGOR,50385,66731,86220,74.38,32.90,32.42,0.48,22.06,22.06,0.01,7.166667511,31.34999996
NGA90022,NGA,90022,Effium,EFFIUM,51500,66666,83878,52.47,29.50,29.53,-0.03,23.46,21.62,1.85,6.63333392,8.06666639
RUS90022,RUS,90022,Kiri?i,KIRISI,56522,56437,55800,207.88,24.59,23.54,1.06,9.10,10.16,-1.06,59.35247703,32.08792906
MOZ90022,MOZ,90022,Garue,GURUE,61774,90655,119852,63.31,33.18,32.52,0.66,17.50,16.96,0.54,-15.459987,36.97999894
SLE90022,SLE,90022, ,SEFADU,105096,118555,142852,67.29,25.62,26.70,-1.08,20.29,19.98,0.32,8.57000061,-10.91000013
LBR90023,LBR,90023,Careysbourg,CAREYSBURG,0,2169.976911,0,0.00,30.82,26.02,4.80,20.09,18.78,1.31,6.403333146,-10.54861107
BRA90023,BRA,90023,Balneario Barra do Sul,BALNEARIOBARRADOSUL,0,5363.295567,0,0.00,32.07,33.23,-1.16,19.91,20.22,-0.31,-26.45587202,-48.6131078
MRT90023,MRT,90023,Mal,MAL,0,17748.07035,0,0.00,44.98,45.03,-0.05,22.14,22.63,-0.49,16.94426102,-13.38356628
BWA90023,BWA,90023, ,DEKAR,593,783,924,11.33,51.40,49.84,1.56,16.68,16.65,0.02,-21.53317896,21.9333322
GRC90023,GRC,90023,Loutrákion,LOUTRAKION,1090,1139,1190,13.10,37.32,33.59,3.72,17.45,15.01,2.44,40.97000022,21.95000028
USA90023,USA,90023,Burt,BURT,1169,1145,1122,31.25,30.42,31.11,-0.69,12.48,12.31,0.16,43.24330621,-83.91000043
ARG90023,ARG,90023,Río Piedras,RIOPIEDRAS,1226,1190,1155,19.43,44.36,40.98,3.38,19.13,18.53,0.60,-25.30000058,-64.90000222
IRL90023,IRL,90023,Mountrath,MOUNTRATH,1266,1293,1320,18.08,30.98,30.71,0.27,9.84,9.12,0.72,52.99866291,-7.472777831
GMB90023,GMB,90023,Denton,BOIRAM,1277,1386,1482,9.85,33.52,32.50,1.03,18.75,19.92,-1.17,13.49999465,-14.93333359
KGZ90023,KGZ,90023,Sary-Tash,SARYTASH,1298,1408,1526,13.32,39.67,36.36,3.31,2.97,2.69,0.28,39.73333322,73.25000004
HUN90023,HUN,90023,Bodroghalom,BODROGHALOM,1358,1378,1389,6.67,40.25,38.56,1.69,13.53,13.16,0.38,48.2999547,21.71666712
COM90023,COM,90023, ,DZINDRI,1385,1536,1693,3.75,30.45,30.35,0.09,21.25,20.07,1.18,-12.2293441,44.35410566
URY90023,URY,90023,SAN BAUTISTA,SANBAUTISTA,1552,1662,1780,17.82,37.42,37.62,-0.20,13.94,13.60,0.34,-34.43333522,-55.98333379
DNK90023,DNK,90023,Ejstrupholm,EJSTRUPHOLM,1598,1617,1636,14.32,28.39,28.65,-0.26,9.03,8.68,0.35,55.98333688,9.28333206
SVN90023,SVN,90023,Rakek,RAKEK,1933,1961,1959,10.30,36.27,33.08,3.19,12.53,13.19,-0.66,45.81553892,14.31305601
CMR90023,CMR,90023, ,GUERE,2378,2504,2557,13.25,36.89,36.49,0.39,23.92,24.15,-0.23,10.03389988,15.27420022
BOL90023,BOL,90023,Santa Fe,SANTAFE,2953,3541,4097,26.73,27.51,28.60,-1.10,-8.41,-6.47,-1.94,-18.11662291,-66.81666517
KEN90023,KEN,90023,OTHAYA TOWN COUNCIL,OTHAYA,2990,3616,4240,8.96,34.78,34.73,0.05,11.53,12.46,-0.93,-0.566663333,36.95000074
ETH90023,ETH,90023, ,ADDIARKAY,3022,3914,4791,12.34,24.58,22.91,1.67,3.26,3.60,-0.34,13.26999598,38.04000054
PER90023,PER,90023,COPALLIN,COPALLIN,3141,3522,3892,22.98,34.23,32.33,1.90,19.29,16.14,3.14,-5.673888768,-78.41999831
SLE90023,SLE,90023, ,PEPEL,3478,3357,3465,7.85,21.61,25.76,-4.15,19.78,21.13,-1.35,8.587754957,-13.06396567
CIV90023,CIV,90023,Tai,TAI,3903,4427,4427,8.08,34.80,31.44,3.36,18.84,18.34,0.50,5.868622002,-7.449616733
GAB90023,GAB,90023, ,LEBAMBA,3927,5002,6049,10.23,29.75,28.71,1.04,19.18,20.52,-1.34,-2.199799809,11.49999989
UGA90023,UGA,90023,KILEMBE,KILEMBE,4983,6180,7456,6.33,31.13,26.76,4.37,14.77,12.18,2.58,0.199999863,29.99999992
AUT90023,AUT,90023,Bärnbach,BARNBACH,5184,5061,4940,23.35,34.32,34.87,-0.55,14.43,14.16,0.27,47.02997384,15.85000049
IND90023,IND,90023,PAROLE,PAROLE,5298,6074,6896,16.16,31.15,31.07,0.08,24.72,23.92,0.79,32.3499997,75.43332636
ROU90023,ROU,90023,Bucecea,BUCECEA,5493,5428,5264,11.79,32.56,32.87,-0.31,12.57,13.16,-0.59,47.76996472,26.43000041
COL90023,COL,90023,SALAZAR,SALAZAR,5549,6323,6926,27.18,32.65,29.60,3.05,15.38,13.75,1.63,7.780000533,-72.80999723
DZA90023,DZA,90023, ,MENACEUR,5751,6911,7954,26.94,41.57,39.57,2.00,18.68,19.07,-0.39,36.49389079,2.243055254
NER90023,NER,90023,Say,SAY,6850,8319,10102,6.66,38.11,40.17,-2.07,22.47,21.33,1.13,13.10784874,2.357923715
GHA90023,GHA,90023, ,KPANDAE,6962,8785,10785,23.64,32.35,31.68,0.66,20.07,19.85,0.22,8.466667435,-0.016666862
