ISOURBID,ISO3,URBID,NAME,SCHNM,ES90POP,ES95POP,ES00POP,SQKM_FINAL,URB_D_MEAN,BUF_D_MEAN,D_T_DIFF,URB_N_MEAN,BUF_N_MEAN,N_T_DIFF,LATITUDE,LONGITUDE
GRL8,GRL,8,Upernavik,UPERNAVIK,918,1015,1123,4.93,7.05,7.95,-0.90,-3.16,-1.66,-1.50,72.78859775,-56.14005599
USA15,USA,15,Barrow,BARROW,3469,3986,4581,152.21,10.65,12.41,-1.76,-0.45,0.80,-1.25,71.30396294,-156.7302058
NOR17,NOR,17,Honningsvåg,HONNINGSVAG,2237,2356,2510,47.58,16.66,14.53,2.13,5.43,6.72,-1.29,71.00498858,25.96256797
NOR19,NOR,19,Hav?ysund,HAVOYSUND,1285,1235,1163,19.44,14.61,14.87,-0.26,5.61,5.75,-0.14,70.98306828,24.65280265
NOR21,NOR,21,Kj?llefjord,KJOLLEFJORD,1159,1115,1049,35.16,20.33,18.24,2.09,4.57,6.96,-2.40,70.94386971,27.35639187
NOR26,NOR,26,Berlevåg,BERLEVAG,1297,1247,1174,35.15,20.68,18.98,1.70,6.75,6.09,0.67,70.84313287,29.07092112
GRL31,GRL,31,Uummannaq,UUMMANNAQ,1405,1422,1440,7.38,9.84,11.15,-1.31,1.52,4.49,-2.97,70.69062226,-52.12977833
RUS40,RUS,40,Anadyr,ANADYR,12054,12035,11900,130.00,23.86,22.77,1.10,-0.27,3.21,-3.48,64.75772285,177.7247612
WLF52,WLF,52,Mata'utu,MATAUTU,1222,1150,1083,21.73,28.52,27.59,0.93,22.25,23.77,-1.52,-13.27915541,-176.1717912
WSM53,WSM,53,Apia,APIA,48921,52041,55640,84.75,30.07,26.06,4.01,21.97,20.48,1.49,-13.85220631,-171.7693123
FJI58,FJI,58,Labasa,LABASA,5495,6313,7254,257.19,33.27,31.40,1.87,21.29,21.69,-0.40,-16.46931299,179.3622304
FJI68,FJI,68,Lautoka,LAUTOKA,52847,58677,65275,1072.32,33.94,31.56,2.38,21.02,20.54,0.48,-17.61844031,177.6378907
FJI76,FJI,76,Suva,SUVA,87419,92593,98097,234.22,33.06,30.66,2.40,20.79,20.28,0.51,-18.06908984,178.4996775
FJI78,FJI,78,Sigatoka,SIGATOKA,1881,1641,1432,91.74,31.97,31.84,0.13,22.54,22.74,-0.20,-18.13122951,177.4706059
TON84,TON,84,Neiafu,NEIAFU,3927,3988,4050,14.83,31.43,28.99,2.44,23.68,22.82,0.86,-18.64759078,-173.9798468
TON86,TON,86,Nuku'alofa,NUKUALOFA,34339,35362,36424,191.62,30.73,28.99,1.74,22.10,22.20,-0.10,-21.17154099,-175.2008007
NZL87,NZL,87,Whakatane,WHAKATANE,17167,17441,17719,51.13,28.99,27.94,1.05,12.19,11.68,0.51,-37.96300811,176.9850298
NZL89,NZL,89,Opotiki,OPOTIKI,4453,4241,4039,39.40,30.02,27.48,2.54,11.69,11.76,-0.06,-38.01364908,177.2993436
NZL90,NZL,90,Kawerau,KAWERAU,8995,8013,7138,76.38,30.25,27.60,2.65,11.46,11.38,0.08,-38.07138621,176.7256155
NZL91,NZL,91,Murupara,MURUPARA,2549,2261,2006,13.45,32.66,27.47,5.19,8.70,9.12,-0.43,-38.45175161,176.7133199
NZL92,NZL,92,Gisborne,GISBORNE,33704,32788,31897,118.53,33.19,30.27,2.91,12.75,12.31,0.44,-38.65128307,178.0132681
NZL94,NZL,94,Wairoa,WAIROA,5829,5129,4514,60.51,33.17,31.03,2.15,12.03,12.31,-0.28,-39.02984748,177.4353034
NZL96,NZL,96,Hastings,HASTINGS,111747,112618,113497,346.34,32.96,30.81,2.14,12.15,12.06,0.09,-39.50764653,176.8610136
CHL101,CHL,101,Valdivia,VALDIVIA,109924,117027,124590,180.26,28.51,27.13,1.38,11.03,10.83,0.19,-39.81947928,-73.22024876
NZL104,NZL,104,Wanganui,WANGANUI,43200,41440,39752,151.19,31.13,28.45,2.67,9.74,9.64,0.10,-39.92597239,175.0606307
ARG105,ARG,105,VILLALONGA,VILLALONGA,3148,3412,3654,34.24,47.00,47.17,-0.17,12.45,12.55,-0.09,-39.92066174,-62.61410751
ARG106,ARG,106,Junín de los Andes,JUNINDELOSANDES,8755,9489,10161,107.96,49.58,49.22,0.36,7.19,6.86,0.33,-39.94865267,-71.06092887
NZL107,NZL,107,Waipukurau,WAIPUKURAU,6085,5946,5811,65.80,37.08,34.07,3.02,9.06,8.61,0.45,-39.97574981,176.5725692
ARG108,ARG,108,Piedra del ?guila,PIEDRADELAGUILA,2858,3098,3318,193.93,53.80,54.77,-0.97,11.37,10.69,0.68,-40.02089462,-70.01729191
ARG110,ARG,110,General Conesa,GENERALCONESA,4255,4611,4938,50.24,46.02,50.16,-4.14,15.03,15.27,-0.24,-40.09954879,-64.44582063
NZL111,NZL,111,Marton,MARTON,6135,5462,4864,42.04,31.12,30.24,0.88,7.65,8.43,-0.77,-40.07857608,175.3904826
ARG113,ARG,113,San Martín de los Andes,SANMARTINDELOSANDES,19063,20661,22126,121.03,37.71,34.29,3.42,8.02,5.78,2.23,-40.15141408,-71.31871349
NZL115,NZL,115,Bulls,BULLS,2016,1893,1777,26.04,32.44,31.61,0.84,8.44,8.19,0.25,-40.18459781,175.3943479
ARG116,ARG,116,STROEDER,STROEDER,2109,2048,1987,34.11,48.74,49.34,-0.60,12.87,12.66,0.21,-40.18059847,-62.61522932
NZL117,NZL,117,Dannevirke,DANNEVIRKE,5723,5548,5379,47.22,28.41,27.96,0.44,7.21,7.62,-0.41,-40.20846521,176.119546
NZL118,NZL,118,Feilding,FEILDING,14534,14121,13720,72.11,31.46,30.33,1.13,8.33,8.06,0.27,-40.22542586,175.5859697
NZL120,NZL,120,Palmerston North,PALMERSTONNORTH,75300,74098,72915,244.71,30.75,28.22,2.52,8.68,8.27,0.41,-40.35613039,175.6184131
CHL125,CHL,125,Osorno,OSORNO,110943,119367,128430,280.58,35.07,33.83,1.24,8.00,8.07,-0.07,-40.54164547,-73.15248481
NZL126,NZL,126,Foxton,FOXTON,4823,4720,4620,33.17,30.71,30.04,0.67,7.90,8.56,-0.66,-40.46799459,175.2835705
NZL132,NZL,132,Levin,LEVIN,19663,19379,19099,104.93,29.51,26.02,3.49,9.23,8.39,0.83,-40.61988024,175.2965987
ARG134,ARG,134,Valcheta,VALCHETA,3021,3274,3506,37.77,53.90,55.11,-1.21,14.87,14.56,0.31,-40.67552993,-66.15058014
ARG136,ARG,136,San Antonio Oeste,SANANTONIOOESTE,11687,12667,13565,75.80,47.67,47.27,0.40,15.85,15.49,0.36,-40.73410017,-64.95221366
NZL138,NZL,138,Otaki,OTAKI,5505,5567,5630,58.68,28.76,24.29,4.47,9.22,8.34,0.88,-40.76207892,175.1646317
ARG140,ARG,140,Villa La Angostura,VILLALAANGOSTURA,6225,6746,7225,48.49,28.99,26.40,2.59,7.29,6.72,0.57,-40.76291643,-71.62048623
ARG141,ARG,141,Viedma,VIEDMA,54409,58970,63151,171.00,47.52,48.59,-1.06,13.34,12.52,0.82,-40.81368581,-62.98714179
ARG145,ARG,145,Los Menucos,LOSMENUCOS,2285,2476,2652,32.48,52.49,53.36,-0.87,9.74,9.69,0.05,-40.84100145,-68.0683382
NZL147,NZL,147,Takaka,TAKAKA,1269,1231,1195,17.05,28.49,24.97,3.52,10.82,10.96,-0.14,-40.85267174,172.810974
NZL148,NZL,148,Kapiti,KAPITI,26685,29658,32962,138.23,25.58,22.43,3.15,9.41,8.97,0.45,-40.91177176,175.041751
NZL150,NZL,150,Masterton,MASTERTON,19918,19727,19538,121.26,32.18,30.18,1.99,8.42,8.66,-0.24,-40.95432549,175.6587865
NZL152,NZL,152,Carterton,CARTERTON,4254,4184,4115,38.87,31.83,30.80,1.03,6.38,8.07,-1.70,-41.02494736,175.5338728
AUS153,AUS,153,Burnie,BURNIE,16922,17894,18922,83.29,30.09,30.02,0.08,9.86,9.12,0.75,-41.07667391,145.8982854
NZL155,NZL,155,Wellington,WELLINGTON,468819,474741,480770,754.77,25.41,21.80,3.61,9.87,9.66,0.21,-41.19272482,174.9205029
ARG156,ARG,156,San Carlos de Bariloche,SANCARLOSDEBARILOCHE,75714,82061,87879,220.84,33.17,30.60,2.57,6.93,7.32,-0.38,-41.13807548,-71.3509942
NZL158,NZL,158,Motueka,MOTUEKA,6292,6558,6834,29.75,28.32,25.77,2.55,10.76,11.17,-0.42,-41.11499087,172.9959459
AUS165,AUS,165,Devonport,DEVONPORT,32208,32104,32110,228.88,33.04,30.83,2.21,10.21,9.85,0.36,-41.19100142,146.3298188
NZL170,NZL,170,Martinborough,MARTINBOROUGH,1591,1479,1376,16.15,35.14,32.94,2.20,7.33,7.39,-0.07,-41.21750363,175.467819
NZL171,NZL,171,Nelson,NELSON,49676,52712,55942,254.24,28.35,25.28,3.06,11.05,10.48,0.57,-41.32284084,173.2060407
CHL172,CHL,172,Puerto Varas,PUERTOVARAS,15119,17684,20684,90.36,30.78,27.66,3.13,7.36,8.39,-1.03,-41.3124153,-72.98647537
NZL174,NZL,174,Picton,PICTON,3808,3889,3973,58.65,23.09,21.78,1.31,10.04,11.34,-1.30,-41.29617929,174.0255279
ARG175,ARG,175,Ingeniero Jacobacci,INGENIEROJACOBACCI,4860,5267,5641,49.00,51.39,51.85,-0.46,7.24,7.34,-0.09,-41.33091842,-69.52829444
AUS178,AUS,178,Launceston,LAUNCESTON,66821,67554,68294,367.34,37.79,35.78,2.01,9.73,9.12,0.61,-41.46179785,147.1510003
CHL183,CHL,183,Puerto Montt,PUERTOMONTT,103116,121581,143354,172.34,29.31,26.97,2.35,6.78,7.72,-0.94,-41.45672752,-72.94488908
NZL186,NZL,186,Blenheim,BLENHEIM,24724,25538,26379,179.89,29.95,26.74,3.21,9.10,9.91,-0.81,-41.50810799,173.9355254
ARG192,ARG,192,Sierra Grande,SIERRAGRANDE,5748,6230,6671,59.07,50.86,49.58,1.28,12.58,12.21,0.36,-41.60655239,-65.34973125
NZL202,NZL,202,Westport,WESTPORT,4859,4337,3870,38.59,26.52,23.84,2.68,8.42,7.96,0.46,-41.76013767,171.6139192
CHL208,CHL,208,Ancud,ANCUD,22398,24320,26408,16.00,21.59,24.80,-3.21,8.72,7.37,1.34,-41.87886939,-73.78687321
ARG209,ARG,209,El Bolsón,ELBOLSON,11523,12489,13375,71.86,35.28,32.79,2.49,7.09,5.29,1.80,-41.96498577,-71.51406813
ARG212,ARG,212,El Maitén,ELMAITEN,2881,3123,3344,61.84,42.66,41.23,1.43,6.53,5.39,1.14,-42.05057027,-71.15322665
NZL218,NZL,218,Kaikoura,KAIKOURA,2351,2236,2127,15.92,26.13,25.59,0.53,9.62,9.31,0.31,-42.392161,173.6751205
NZL219,NZL,219,Greymouth,GREYMOUTH,11196,10403,9666,55.64,24.29,24.46,-0.17,6.54,6.85,-0.31,-42.4569634,171.2314337
CHL221,CHL,221,Castro,CASTRO,19257,22887,27202,66.16,26.94,25.04,1.89,7.49,6.50,0.99,-42.48059463,-73.75186463
NZL224,NZL,224,Hokitika,HOKITIKA,4226,3869,3542,38.56,25.05,25.34,-0.30,5.75,7.08,-1.34,-42.72382252,170.9957327
ARG225,ARG,225,Puerto Madryn,PUERTOMADRYN,48963,53067,56830,128.02,46.99,49.03,-2.04,11.03,10.87,0.16,-42.76716688,-65.05721369
AUS226,AUS,226,Hobart,HOBART,193066,191751,190598,433.35,33.94,31.99,1.95,9.66,9.40,0.27,-42.84981153,147.3440314
AUS228,AUS,228,New Norfolk,NEWNORFOLK,4871,5222,5620,68.83,37.62,34.16,3.46,8.93,8.15,0.78,-42.77685177,147.0965091
ARG231,ARG,231,Esquel,ESQUEL,23871,25872,27706,136.46,39.06,39.23,-0.17,5.56,4.68,0.88,-42.91408859,-71.28135951
ARG237,ARG,237,Trevelin,TREVELIN,4126,4472,4789,49.53,40.90,38.47,2.44,8.12,6.76,1.36,-43.09212692,-71.44045788
NZL240,NZL,240,Amberley,AMBERLEY,875,945,990,18.16,29.41,29.23,0.18,8.70,9.08,-0.37,-43.15814413,172.7363322
ARG241,ARG,241,Trelew,TRELEW,75045,81336,87103,182.59,46.10,47.77,-1.67,11.66,11.21,0.45,-43.25874333,-65.29786425
NZL242,NZL,242,Christchurch,CHRISTCHURCH,329543,338664,348117,737.70,31.47,29.27,2.19,9.13,8.79,0.34,-43.48796884,172.6002759
ARG243,ARG,243,Rawson,RAWSON,21986,23830,25519,93.91,45.46,46.65,-1.19,11.04,11.31,-0.27,-43.30284375,-65.093738
ARG244,ARG,244,Gaiman,GAIMAN,3647,3953,4233,70.62,44.77,47.23,-2.46,10.45,10.75,-0.30,-43.29351039,-65.48765014
ARG245,ARG,245,Dolavon,DOLAVON,2119,2297,2460,35.61,45.48,46.72,-1.24,10.73,10.49,0.25,-43.30675907,-65.69510615
NZL247,NZL,247,Darfield,DARFIELD,1177,1275,1382,19.31,34.20,31.54,2.66,7.16,7.34,-0.18,-43.48152319,172.1079121
NZL248,NZL,248,Rolleston,ROLLESTON,1727,1865,1955,68.40,35.28,33.18,2.10,8.02,7.74,0.29,-43.59997109,172.3326342
NZL255,NZL,255,Ashburton,ASHBURTON,15790,15784,15778,73.27,31.31,28.46,2.84,8.30,7.77,0.54,-43.89923731,171.7577991
ARG256,ARG,256,Gobernador Costa,GOBERNADORCOSTA,2091,2030,1969,20.37,40.46,42.27,-1.81,4.41,4.29,0.12,-44.04221916,-70.58800877
ARG257,ARG,257,José de San Martín,JOSEDESANMARTIN,1552,1507,1461,13.58,43.72,42.84,0.88,4.35,4.07,0.28,-44.04550171,-70.45568655
NZL260,NZL,260,Temuka,TEMUKA,3963,3978,3993,35.15,29.25,27.76,1.49,7.31,7.66,-0.36,-44.24462359,171.2853795
NZL262,NZL,262,Timaru,TIMARU,27694,27260,26833,82.28,29.25,27.74,1.51,8.36,8.24,0.11,-44.37685458,171.2221981
NZL264,NZL,264,Wanaka,WANAKA,1808,2387,3150,45.04,37.97,33.32,4.65,8.63,7.26,1.36,-44.694847,169.1571716
NZL266,NZL,266,Waimate,WAIMATE,3204,2993,2795,17.08,26.92,24.86,2.06,7.62,7.44,0.18,-44.72675092,171.0479002
ARG267,ARG,267,Camarones,CAMARONES,1152,1119,1085,19.33,39.22,42.87,-3.65,10.13,11.22,-1.09,-44.79092418,-65.72203223
NZL272,NZL,272,Queenstown,QUEENSTOWN,6471,7340,8325,86.63,29.01,27.75,1.25,6.79,5.91,0.88,-45.020806,168.6770174
ARG274,ARG,274,Alto Río Senguer,ALTORIOSENGUER,1553,1508,1462,33.37,35.55,38.46,-2.92,5.13,5.34,-0.21,-45.04050167,-70.81341328
NZL275,NZL,275,Oamaru,OAMARU,14338,13565,12834,60.21,24.66,24.38,0.28,7.82,7.30,0.53,-45.0812519,170.9682404
NZL282,NZL,282,Alexandra,ALEXANDRA,4879,4657,4445,61.06,38.90,39.07,-0.17,7.63,6.48,1.14,-45.24616138,169.4100111
CHL288,CHL,288,Coihaique,COIHAIQUE,34884,38735,43010,91.35,25.49,22.74,2.75,4.58,2.99,1.60,-45.57499715,-72.0382714
ARG289,ARG,289,Sarmiento,SARMIENTO,6822,7394,7918,72.70,37.32,36.38,0.94,9.39,9.76,-0.36,-45.59309171,-69.05010973
ARG291,ARG,291,Río Mayo,RIOMAYO,2497,2707,2899,50.98,41.19,40.20,0.99,5.90,5.95,-0.05,-45.68501038,-70.24828636
ARG293,ARG,293,Comodoro Rivadavia,COMODORORIVADAVIA,121671,131743,140973,417.35,39.45,39.44,0.01,10.69,9.27,1.42,-45.81408305,-67.54626912
NZL298,NZL,298,Dunedin,DUNEDIN,115409,111549,107819,283.35,24.30,22.32,1.97,7.64,7.89,-0.25,-45.86698734,170.4730231
NZL307,NZL,307,Gore,GORE,11523,10768,10062,74.42,29.19,27.73,1.46,7.14,6.12,1.02,-46.10430314,168.9527493
NZL310,NZL,310,Milton,MILTON,2142,2036,1936,35.11,25.59,23.60,1.99,5.28,6.60,-1.32,-46.11725271,169.9737826
NZL311,NZL,311,Winton,WINTON,2303,2208,2118,33.91,27.07,26.23,0.84,7.17,6.29,0.88,-46.14842665,168.3288628
NZL314,NZL,314,Balclutha,BALCLUTHA,4173,4143,4113,61.01,26.54,26.05,0.49,7.68,7.16,0.52,-46.24431733,169.7432209
NZL316,NZL,316,Invercargill,INVERCARGILL,53391,50045,46908,196.63,26.63,24.85,1.78,6.23,5.69,0.54,-46.39139356,168.3669585
NZL319,NZL,319,Riverton,RIVERTON,2068,1868,1687,7.95,22.63,23.57,-0.93,4.25,5.50,-1.25,-46.35811899,168.0226686
ARG321,ARG,321,Caleta Olivia,CALETAOLIVIA,30659,33230,35586,67.71,39.77,40.18,-0.41,8.83,9.38,-0.55,-46.45034384,-67.54301745
ARG324,ARG,324,Las Heras,LASHERAS,7906,8568,9176,73.23,41.74,42.62,-0.88,7.15,6.52,0.64,-46.54274638,-68.9323299
ARG328,ARG,328,Los Antiguos,LOSANTIGUOS,1739,1885,2019,29.24,31.27,26.86,4.41,7.53,8.10,-0.57,-46.55625605,-71.63060167
NZL330,NZL,330,Bluff,BLUFF,2277,2113,1961,38.49,23.15,23.60,-0.45,6.45,5.50,0.95,-46.5882891,168.3823551
ARG331,ARG,331,Perito Moreno,PERITOMORENO,3049,3304,3539,53.70,36.15,36.53,-0.38,6.74,6.30,0.45,-46.58854269,-70.91662667
ARG336,ARG,336,Pico Truncado,PICOTRUNCADO,12734,13802,14781,68.19,43.85,45.20,-1.35,7.53,7.45,0.08,-46.79277189,-67.95330951
ARG338,ARG,338,Puerto Deseado,PUERTODESEADO,8699,9429,10097,50.59,37.46,39.47,-2.01,7.85,7.56,0.29,-47.74555733,-65.90485991
ARG339,ARG,339,Gobernador Gregores,GOBERNADORGREGORES,2140,2320,2484,51.52,36.89,37.18,-0.28,6.07,4.90,1.17,-48.74769943,-70.23961009
ARG341,ARG,341,Puerto San Julián,PUERTOSANJULIAN,5220,5658,6059,51.14,38.54,37.26,1.28,4.03,4.51,-0.48,-49.29503173,-67.75851793
ARG344,ARG,344,Comandante Luis Piedrabuena,COMANDANTELUISPIEDRABUENA,3548,3846,4119,57.77,38.15,38.84,-0.68,4.57,4.12,0.46,-49.98304294,-68.90471627
ARG345,ARG,345,Puerto Santa Cruz,PUERTOSANTACRUZ,2886,3128,3350,21.80,35.48,34.13,1.35,3.19,3.71,-0.51,-50.01993253,-68.54659565
ARG347,ARG,347,El Calafate,ELCALAFATE,5447,5904,6322,60.03,28.23,22.50,5.73,4.89,4.59,0.30,-50.34069492,-72.24778997
ARG363,ARG,363,Río Gallegos,RIOGALLEGOS,67260,72898,78067,75.06,25.84,27.13,-1.28,3.68,3.40,0.28,-51.63325587,-69.24095573
FLK365,FLK,365,Port Stanley,PORTSTANLEY,1104,1442,1885,33.75,22.44,22.30,0.14,2.07,2.29,-0.22,-51.6619502,-57.81792617
CHL394,CHL,394,Punta Arenas,PUNTAARENAS,107781,111134,114592,142.96,17.72,17.69,0.03,2.48,1.68,0.80,-53.12679359,-70.94782535
ARG404,ARG,404,Río Grande,RIOGRANDE,44770,48523,51964,81.87,23.13,23.78,-0.65,1.25,0.58,0.66,-53.79426368,-67.73388796
ARG408,ARG,408,Tolhuin,TOLHUIN,1283,1245,1208,26.42,18.91,17.82,1.10,2.48,2.35,0.13,-54.51169687,-67.19190661
ARG410,ARG,410,Ushuaia,USHUAIA,38608,41845,44811,118.81,13.34,12.18,1.16,-1.60,-2.24,0.64,-54.80403981,-68.31644582
NOR411,NOR,411,Hammerfest,HAMMERFEST,5667,5971,6361,143.29,19.10,17.28,1.82,5.63,5.68,-0.05,70.66364678,23.77266654
NOR413,NOR,413,Båtsfjord,BATSFJORD,2074,2185,2328,94.64,20.63,19.15,1.48,4.42,5.33,-0.91,70.62001939,29.70435435
NOR433,NOR,433,Vard?,VARDO,1986,2093,2229,14.76,16.09,16.27,-0.18,4.90,5.85,-0.94,70.37823124,31.03206435
NOR452,NOR,452,Vads?,VADSO,4409,4646,4949,55.90,21.30,21.59,-0.29,5.47,5.43,0.04,70.09816189,29.74371065
NOR456,NOR,456,Lakselv,LAKSELV,1854,1954,2081,75.85,19.34,18.99,0.35,4.83,5.49,-0.66,70.04946504,24.97742022
NOR459,NOR,459,Skjerv?y,SKJERVOY,2091,2203,2346,14.10,14.02,15.52,-1.50,7.39,6.79,0.61,70.02409596,20.97086868
NOR462,NOR,462,Alta,ALTA,9607,10465,11400,287.19,20.03,20.89,-0.86,6.41,6.12,0.29,69.9338926,23.33103388
NOR478,NOR,478,Storslett,STORSLETT,1537,1478,1392,161.88,19.41,19.75,-0.34,5.64,4.53,1.11,69.78566215,20.91752125
NOR489,NOR,489,Kirkenes,KIRKENES,4960,5226,5566,180.35,21.75,20.93,0.82,6.02,6.30,-0.28,69.69049517,30.01430722
NOR491,NOR,491,Troms?,TROMSO,41650,45226,49109,401.00,19.74,18.42,1.32,2.94,3.33,-0.40,69.63860059,18.99467684
NOR512,NOR,512,Karasjok,KARASJOK,2176,2093,1970,102.73,21.30,21.88,-0.57,3.15,3.23,-0.08,69.46021122,25.4992224
RUS524,RUS,524,Dudinka,DUDINKA,27147,27105,26800,8.57,27.42,28.35,-0.94,10.60,8.71,1.90,69.40512308,86.17833311
NOR530,NOR,530,Finnsnes,FINNSNES,3322,3500,3728,492.68,19.70,19.39,0.31,3.65,3.46,0.20,69.24216431,17.95848447
NOR536,NOR,536,Andenes,ANDENES,2473,2605,2775,75.29,18.54,16.80,1.73,2.58,3.57,-0.98,69.26599203,16.06007502
RUS537,RUS,537,Norilsk,NORILSK,171551,155299,140587,10.86,34.98,32.13,2.85,10.67,8.36,2.31,69.32154645,88.21226573
RUS542,RUS,542,Murmansk,MURMANSK,504818,463715,426550,1270.26,21.95,22.41,-0.46,5.40,5.12,0.28,68.96678958,33.15519176
GRL545,GRL,545,Ilulissat,ILULISSAT,4191,4179,4167,28.31,16.73,12.21,4.52,1.21,1.61,-0.40,69.22187389,-51.06079827
NOR556,NOR,556,Myre,MYRE,1801,1898,2022,18.74,19.35,19.24,0.11,3.57,2.73,0.84,69.10716541,15.91565763
NOR563,NOR,563,Kautokeino,KAUTOKEINO,1484,1427,1343,108.79,23.25,22.61,0.64,3.94,3.94,0.00,69.00962071,23.06240956
NOR582,NOR,582,Setermoen,SETERMOEN,1984,2090,2226,98.14,20.67,20.91,-0.24,2.41,1.14,1.27,68.86516611,18.38376084
NOR586,NOR,586,Harstad,HARSTAD,15635,17068,18632,393.98,19.49,17.98,1.51,3.92,3.96,-0.03,68.65052922,16.55103453
GRL589,GRL,589,Qasigiannguit,QASIGIANNGUIT,1612,1517,1428,25.77,18.86,18.48,0.38,3.51,4.05,-0.54,68.82487655,-51.16407819
NOR594,NOR,594,Borkenes,BORKENES,1679,1614,1520,27.19,18.04,18.37,-0.33,4.81,4.25,0.56,68.7641146,16.21765441
NOR598,NOR,598,Sortland,SORTLAND,3936,4147,4417,177.06,18.93,18.60,0.33,2.81,3.67,-0.86,68.6992184,15.37261673
GRL600,GRL,600,Aasiaat,AASIAAT,3308,3276,3245,19.67,13.07,12.79,0.29,3.85,3.19,0.66,68.70328918,-52.85440078
NOR613,NOR,613,Stokmarknes,STOKMARKNES,4556,4799,5113,91.64,18.61,17.78,0.83,4.22,5.60,-1.38,68.54081803,14.87164672
NOR614,NOR,614,Bjerkvik,BJERKVIK,1400,1346,1268,65.41,21.58,20.53,1.05,0.57,2.40,-1.83,68.5559944,17.56103414
NOR625,NOR,625,Narvik,NARVIK,13873,13964,14056,109.93,19.39,20.51,-1.13,2.85,1.39,1.46,68.4170223,17.46776343
NOR632,NOR,632,L?dingen,LODINGEN,2010,1933,1820,20.61,21.58,20.65,0.93,2.12,3.99,-1.87,68.42073654,15.95447537
CAN636,CAN,636,Inuvik,INUVIK,2477,2658,2845,120.18,23.54,23.86,-0.32,9.33,7.32,2.00,68.34078076,-133.65373
NOR647,NOR,647,Evje,EVJE,4872,4853,4809,459.09,19.51,16.30,3.21,5.68,6.45,-0.77,68.18106948,13.6621683
RUS650,RUS,650,Moncegorsk,MONCEGORSK,81763,83049,84100,703.95,24.13,22.49,1.64,5.70,5.92,-0.22,68.04830016,33.07353038
NOR652,NOR,652,Svolvær,SVOLVAER,5461,5578,5715,61.97,20.49,18.48,2.00,5.43,5.61,-0.18,68.24585344,14.4946683
NOR664,NOR,664,Kj?psvik,KJOPSVIK,1147,1103,1038,26.54,18.97,18.90,0.07,5.34,5.53,-0.18,68.09960628,16.38531674
SWE684,SWE,684,Kiruna,KIRUNA,21519,20299,19148,438.19,20.86,21.09,-0.23,4.81,5.06,-0.25,67.84249108,20.29419918
RUS707,RUS,707,Apatity,APATITY,100971,102732,104200,756.86,23.04,22.53,0.51,4.34,5.30,-0.96,67.59663257,33.69532345
RUS711,RUS,711,Vorkuta,VORKUTA,138350,125863,114500,957.23,30.03,30.80,-0.77,3.35,2.39,0.96,67.53073558,63.9466964
RUS717,RUS,717,Kovdor,KOVDOR,24108,24071,23800,241.45,22.22,22.50,-0.28,4.18,3.19,0.99,67.53732953,30.54546048
NOR752,NOR,752,Fauske,FAUSKE,5190,5469,5825,287.46,21.45,20.39,1.05,4.38,2.94,1.44,67.31759267,15.44320198
NOR755,NOR,755,Bod?,BODO,34788,35990,37288,254.20,19.92,19.37,0.55,3.75,4.05,-0.31,67.29458199,14.60461333
SWE770,SWE,770,Pajala,PAJALA,2233,2157,2084,99.07,20.55,20.58,-0.04,4.37,4.41,-0.04,67.22074024,23.32320594
SWE772,SWE,772,Gällivare,GALLIVARE,19681,17787,16081,399.92,20.86,20.43,0.43,4.02,4.41,-0.40,67.14106026,20.73193144
RUS775,RUS,775,Kandalak?a,KANDALAKSA,46089,46019,45500,207.90,22.13,21.65,0.48,5.37,5.81,-0.44,67.16462624,32.3859302
NOR787,NOR,787,Rognan,ROGNAN,2169,2285,2434,151.31,21.08,21.33,-0.26,0.02,1.09,-1.07,67.04665754,15.37581035
GRL808,GRL,808,Sisimiut,SISIMIUT,4871,5003,5138,44.82,20.80,16.13,4.67,0.92,2.10,-1.18,66.95024924,-53.65916455
USA811,USA,811,Kotzebue,KOTZEBUE,2751,2912,3082,105.11,21.79,22.16,-0.37,7.22,8.59,-1.37,66.89936712,-162.5915102
NOR814,NOR,814,?rnes,ORNES,3115,2996,2820,216.61,19.94,16.59,3.35,0.78,1.04,-0.25,66.81140912,13.92192848
RUS832,RUS,832,Salehard,SALEHARD,59966,59875,59200,469.81,30.11,30.08,0.03,6.91,7.02,-0.11,66.64016163,66.44125129
FIN838,FIN,838,Rovaniemi,ROVANIEMI,34853,36934,45804,718.68,22.66,22.16,0.50,5.16,4.21,0.96,66.50827989,25.6964025
SWE848,SWE,848,Jokkmokk,JOKKMOKK,3537,3365,3201,127.67,21.92,21.29,0.63,6.51,6.00,0.51,66.60011562,19.839832
SWE862,SWE,862,Haparanda,HAPARANDA,7526,7138,6773,299.72,20.94,21.12,-0.18,5.68,5.98,-0.29,66.11440214,23.83552679
FIN862,FIN,862,Kemi,KEMI,46389,46238,46164,930.25,20.93,21.39,-0.46,6.57,5.62,0.95,65.92300775,24.37648972
NOR876,NOR,876,Mo i Rana,MOIRANA,21419,20720,20004,309.60,20.57,21.44,-0.88,-0.10,0.04,-0.14,66.31355315,14.19019357
SWE878,SWE,878,Överkalix,OVERKALIX,1146,1072,1003,127.88,20.73,21.31,-0.58,7.97,7.24,0.73,66.3294956,22.80292153
NOR890,NOR,890,Hemnesberget,HEMNESBERGET,1414,1359,1280,18.11,18.34,19.74,-1.41,0.10,1.98,-1.87,66.21815225,13.64231946
NOR894,NOR,894,Nesna,NESNA,1409,1355,1276,14.53,18.49,18.76,-0.27,0.27,4.14,-3.87,66.19535534,13.04636523
